dammit|negative
tampering|negative
jazzed|positive|
#attfail|negative|negative|
#fail|negative|negative|
#fuck|negative|negative|
exceptionally|positive|positive|
excitedly|positive|positive|
excitedness|positive|positive|
excitement|positive|positive|
excites|positive|positive|
exclusion|negative|negative|
excruciating|negative|negative|
excruciatingly|negative|negative|
exellent|positive|positive|
exemplar|positive|positive|
exhausted|negative|negative|
exhausts|negative|negative|
exhilarating|positive|positive|
exhilaratingly|positive|positive|
exhilaration|positive|positive|
exhorbitant|negative|negative|
exorbitantance|negative|negative|
exorbitantly|negative|negative|
expeditiously|positive|positive|
expired|negative|negative|
extensive|negative|negative|
extensively|neutral|neutral|
extermination|negative|negative|
extortion|negative|negative|
extraodinary|positive|positive|
extraordinarily|positive|positive|
extraordinary|positive|positive|
extravagance|negative|negative|
extravagantly|negative|negative|
extreme|negative|negative|
extremely|negative|negative|
exuberance|positive|positive|
exuberantly|positive|positive|
exultant|positive|positive|
exultation|positive|positive|
exultingly|positive|positive|
eye-catching|neutral|positive|
eyecatching|positive|positive|
eyesore|negative|negative|
fabrication|negative|negative|
fabulously|positive|positive|
fact|neutral|neutral|
facts|neutral|neutral|
factual|neutral|neutral|
fading|negative|negative|
failed|negative|negative|
failing|negative|negative|
fails|negative|negative|
faithfully|positive|positive|
faithfulness|positive|positive|
fallaciousness|negative|negative|
fallacy|negative|negative|
fallen|negative|negative|
falling|negative|negative|
fallout|negative|negative|
falls|negative|negative|
false|negative|negative|
falsehood|negative|negative|
falsely|negative|negative|
faltered|negative|negative|
fame|positive|positive|
familiar|neutral|neutral|
famine|negative|negative|
fanastic|positive|positive|
fanatic|negative|negative|
fanatically|negative|negative|
fanaticism|negative|negative|
fanatics|negative|negative|
fancier|positive|positive|
fancinating|positive|positive|
fans|positive|positive|
fantastic|positive|positive|
fantastically|positive|positive|
fantstic|positive|positive|
farce|negative|negative|
farcical|negative|negative|
farcically|negative|negative|
fascinating|positive|positive|
fascinatingly|positive|positive|
fascination|positive|positive|
fascist|negative|negative|
fast|positive|positive|
faster|positive|positive|
fastest|positive|positive|
fat-cat|negative|negative|
fat-cats|negative|negative|
fatcat|negative|negative|
fatcats|negative|negative|
fatigue|negative|negative|
fatigued|negative|negative|
fatique|negative|negative|
fatuity|negative|negative|
faultless|positive|positive|
faults|negative|negative|
fav|positive|positive|
fave|positive|positive|
favorable|positive|positive|
favorited|positive|positive|
favorites|positive|positive|
favour|positive|positive|
favourable|positive|positive|
favourite|positive|positive|
fearfully|negative|negative|
feat|positive|positive|
featly|positive|positive|
feature-rich|positive|positive|
fecilitous|positive|positive|
feel|neutral|neutral|
feels|neutral|neutral|
felicity|positive|positive|
felon|negative|negative|
ferocity|negative|negative|
fervently|positive|positive|
fervidly|positive|positive|
fervor|positive|positive|
fever|negative|negative|
fevers|negative|negative|
fiasco|negative|negative|
fibber|negative|negative|
fiberous|positive|positive|
fidelity|positive|positive|
fiend|negative|negative|
filth|negative|negative|
finally|neutral|neutral|
finatic|positive|positive|
fine-looking|positive|positive|
finer|positive|positive|
finest|positive|positive|
finicky|negative|negative|
firmer|positive|positive|
first-in-class|positive|positive|
fishy|negative|negative|
fist|negative|negative|
flabbergasted|negative|negative|
flagrant|negative|negative|
flagrantly|negative|negative|
flair|negative|negative|
flairs|negative|negative|
flake|negative|negative|
flakieness|negative|negative|
flaking|negative|negative|
flare|negative|negative|
flares|negative|negative|
flareup|negative|negative|
flareups|negative|negative|
flashy|negative|negative|
flat-out|negative|negative|
flavorable|positive|positive|
flavorful|positive|positive|
flavorfull|positive|positive|
flavorless|negative|negative|
flaws|negative|negative|
fleed|negative|negative|
fleeing|negative|negative|
flees|negative|negative|
flexibility|positive|positive|
flicering|negative|negative|
flicker|negative|negative|
flickering|negative|negative|
flickers|negative|negative|
flimflam|negative|negative|
flirting|positive|positive|
flirty|negative|negative|
floored|negative|negative|
floundering|negative|negative|
flustered|negative|negative|
flutter|positive|positive|
foe|negative|negative|
foiled|negative|negative|
fondness|positive|positive|
fool|negative|negative|
fooled|negative|negative|
foolish|negative|negative|
foolishly|negative|negative|
foolishness|negative|negative|
foresight|positive|positive|
forgetful|negative|negative|
forgetfully|negative|negative|
forgetfulness|negative|negative|
forgivable|negative|negative|
forgiveable|negative|negative|
forgiving|positive|positive|
forgivingly|positive|positive|
forsaken|negative|negative|
fortitude|positive|positive|
fortunate|positive|positive|
fortunately|positive|positive|
foulness|negative|negative|
fractiously|negative|negative|
frankly|neutral|neutral|
frantically|negative|negative|
franticly|negative|negative|
freaking|negative|negative|
freakish|negative|negative|
freakishly|negative|negative|
freaks|negative|negative|
freed|positive|positive|
freeze|negative|negative|
freezes|negative|negative|
freezing|negative|negative|
frenetically|negative|negative|
frenzy|negative|negative|
fresher|positive|positive|
freshest|positive|positive|
frets|negative|negative|
fried|negative|negative|
friendliest|positive|positive|
friggin|negative|negative|
frigging|negative|negative|
fright|negative|negative|
frighteningly|negative|negative|
frightfully|negative|negative|
frost|negative|negative|
froze|negative|negative|
fruitlessly|negative|negative|
frustrates|negative|negative|
frustrating|negative|negative|
frustratingly|negative|negative|
frustration|negative|negative|
frustrations|negative|negative|
ftw|positive|positive|
fuck|negative|negative|
fucking|negative|negative|
fumes|negative|negative|
funeral|negative|negative|
funky|negative|negative|
funnily|negative|negative|
funny|positive|positive|
fuqkn|negative|negative|
furiously|negative|negative|
furor|negative|negative|
further|neutral|neutral|
furthermore|neutral|neutral|
fury|negative|negative|
fussy|negative|negative|
futilely|negative|negative|
futility|negative|negative|
futurestic|positive|positive|
futuristic|positive|positive|
gaff|negative|negative|
gaffe|negative|negative|
gaga|negative|negative|
gaiety|positive|positive|
gained|positive|positive|
gaining|positive|positive|
gains|positive|positive|
gainsayer|negative|negative|
galls|negative|negative|
galore|positive|positive|
gangster|negative|negative|
geekier|positive|positive|
geeky|positive|positive|
geezer|negative|negative|
generosity|positive|positive|
genius|positive|positive|
gentlest|positive|positive|
ghetto|negative|negative|
ghosting|negative|negative|
gibberish|negative|negative|
gimmick|negative|negative|
gimmicked|negative|negative|
gimmicking|negative|negative|
gimmicks|negative|negative|
gimmicky|negative|negative|
gladness|positive|positive|
glee|positive|positive|
gleeful|positive|positive|
gleefully|positive|positive|
glimmering|positive|positive|
glistening|positive|positive|
glitch|negative|negative|
glitches|negative|negative|
glitz|positive|positive|
gloriously|positive|positive|
glowing|positive|positive|
glowingly|positive|positive|
glut|negative|negative|
gnawing|negative|negative|
god-awful|negative|negative|
god-given|positive|positive|
god-send|positive|positive|
goddam|negative|negative|
goddamn|negative|negative|
godlike|positive|positive|
godsend|positive|positive|
gold|positive|positive|
good|positive|positive|
goodbye|positive|positive|
goodness|positive|positive|
goofy|negative|negative|
goon|negative|negative|
goood|positive|positive|
gooood|positive|positive|
gorgeaous|positive|positive|
gorgeously|positive|positive|
gouge|negative|negative|
gourmet|positive|positive|
grace|positive|positive|
graciousness|positive|positive|
gracous|positive|positive|
graft|negative|negative|
grainy|negative|negative|
grandeur|positive|positive|
grateful|positive|positive|
gratefully|positive|positive|
gratification|positive|positive|
gratified|positive|positive|
gratifies|positive|positive|
gratifying|positive|positive|
gratifyingly|positive|positive|
gratuitously|negative|negative|
greasy|negative|negative|
greatful|positive|positive|
greatness|positive|positive|
greed|negative|negative|
grief|negative|negative|
grievance|negative|negative|
grievous|negative|negative|
grievously|negative|negative|
grin|positive|positive|
gripes|negative|negative|
grossly|negative|negative|
grouch|negative|negative|
grudge|negative|negative|
grudging|negative|negative|
grudgingly|negative|negative|
gruesome|negative|negative|
gruesomely|negative|negative|
grumpier|negative|negative|
grumpiest|negative|negative|
grumpily|negative|negative|
grumpish|negative|negative|
grumpy|negative|negative|
grungy|negative|negative|
guile|negative|negative|
guilt|negative|negative|
gumption|positive|positive|
gusto|positive|positive|
gutless|negative|negative|
gutter|negative|negative|
hack|negative|negative|
hacks|negative|negative|
haggling|negative|negative|
hairloss|negative|negative|
hallmark|positive|positive|
hallmarks|positive|positive|
hallucination|negative|negative|
hampered|negative|negative|
handier|positive|positive|
hands-down|positive|positive|
handsomely|positive|positive|
hangs|negative|negative|
happier|positive|positive|
happiness|positive|positive|
harassed|negative|negative|
harasses|negative|negative|
hard-liner|negative|negative|
hardliner|negative|negative|
hardly|negative|negative|
hardship|negative|negative|
harmed|negative|negative|
harmoniously|positive|positive|
harpy|negative|negative|
harridan|negative|negative|
harshly|negative|negative|
hasseling|negative|negative|
hassle|negative|negative|
hassled|negative|negative|
hassles|negative|negative|
hastily|negative|negative|
hated|negative|negative|
hatefully|negative|negative|
hatefulness|negative|negative|
hater|negative|negative|
haters|negative|negative|
hates|negative|negative|
hating|negative|negative|
hatred|negative|negative|
havoc|negative|negative|
haywire|negative|negative|
haze|negative|negative|
head-aches|negative|negative|
headache|negative|negative|
headway|positive|positive|
heartbreaker|negative|negative|
heartier|positive|positive|
hearty|positive|positive|
heaven|positive|positive|
heavenly|positive|positive|
heckled|negative|negative|
heckles|negative|negative|
hefty|negative|negative|
hell|negative|negative|
hellion|negative|negative|
hells|negative|negative|
helped|positive|positive|
helpfull|positive|positive|
helping|positive|positive|
helplessness|negative|negative|
herald|positive|positive|
heresy|negative|negative|
heretic|negative|negative|
hero|positive|positive|
heroic|positive|positive|
heroically|positive|positive|
heroine|positive|positive|
heros|positive|positive|
hestitant|negative|negative|
heywire|negative|negative|
hideousness|negative|negative|
high-priced|negative|negative|
high-spirited|positive|positive|
higher|positive|positive|
hilariously|positive|positive|
hiliarious|negative|negative|
hindrance|negative|negative|
hiss|negative|negative|
hissed|negative|negative|
hissing|negative|negative|
hm|neutral|neutral|
hmm|neutral|neutral|
ho-hum|negative|negative|
hogs|negative|negative|
holding|negative|negative|
homage|positive|positive|
honestly|neutral|positive|
honorable|positive|positive|
honored|positive|positive|
honoring|positive|positive|
hoodium|negative|negative|
hooligan|negative|negative|
hooray|positive|positive|
hopeful|positive|positive|
hopefully|neutral|positive|
hopelessly|negative|negative|
hopelessness|negative|negative|
horde|negative|negative|
horrendously|negative|negative|
horrible|negative|negative|
horribly|negative|negative|
horrifically|negative|negative|
horrified|negative|negative|
horrifies|negative|negative|
horrifying|negative|negative|
horrifyingly|negative|negative|
horrifys|negative|negative|
hostage|negative|negative|
hotcake|positive|positive|
hotcakes|positive|positive|
hothead|negative|negative|
hottest|positive|positive|
however|neutral|neutral|
hubris|negative|negative|
huckster|negative|negative|
huge|positive|positive|
hugh|positive|positive|
hulled|negative|negative|
hum|negative|negative|
humbling|negative|negative|
humid|negative|negative|
humiliation|negative|negative|
humility|positive|positive|
humming|negative|negative|
humorous|positive|positive|
humorously|positive|positive|
humourous|positive|positive|
hungery|negative|negative|
hungup|negative|negative|
hurted|negative|negative|
hurting|negative|negative|
hurts|negative|negative|
hustler|negative|negative|
hype|negative|negative|
hypocricy|negative|negative|
hypocrisy|negative|negative|
hypocrite|negative|negative|
hypocrites|negative|negative|
hypocritically|negative|negative|
hysteria|negative|negative|
hysterical|negative|negative|
hysterically|negative|negative|
hysterics|negative|negative|
ideally|positive|positive|
idiocies|negative|negative|
idiocy|negative|negative|
idiot|negative|negative|
idiotic|negative|negative|
idiotically|negative|negative|
idiots|negative|negative|
idyllic|positive|positive|
ignominy|negative|negative|
ill-defined|negative|negative|
ill-designed|negative|negative|
ill-formed|negative|negative|
ill-usage|negative|negative|
illness|negative|negative|
illogic|negative|negative|
illuminating|positive|positive|
ilu|positive|positive|
imaculate|positive|positive|
imbecile|negative|negative|
imbroglio|negative|negative|
immediately|neutral|neutral|
immense|positive|positive|
immensely|neutral|neutral|
imminence|negative|negative|
immobilized|negative|negative|
immorality|negative|negative|
immorally|negative|negative|
impacecable|positive|positive|
impartiality|positive|positive|
impasse|negative|negative|
impatience|negative|negative|
impecable|positive|positive|
impeccably|positive|positive|
impedance|negative|negative|
impediment|negative|negative|
imperfection|negative|negative|
imperfections|negative|negative|
imperialist|negative|negative|
impetuously|negative|negative|
impiety|negative|negative|
implausibly|negative|negative|
imploringly|both|both|
impossiblity|negative|negative|
impressed|positive|positive|
impresses|positive|positive|
impressively|positive|positive|
impressiveness|positive|positive|
imprisonment|negative|negative|
improbability|negative|negative|
impropriety|negative|negative|
improvement|positive|positive|
improvements|positive|positive|
improves|positive|positive|
imprudence|negative|negative|
impudence|negative|negative|
impudently|negative|negative|
impurity|negative|negative|
inaccuracies|negative|negative|
inaccuracy|negative|negative|
inaction|negative|negative|
inadequacy|negative|negative|
inapropriate|negative|negative|
inaptitude|negative|negative|
inaudible|negative|negative|
incendiary|negative|negative|
incisively|positive|positive|
incivility|negative|negative|
inclinations|positive|positive|
incoherence|negative|negative|
incompatability|negative|negative|
incompatibility|negative|negative|
incompetence|negative|negative|
incomprehension|negative|negative|
inconsistence|negative|negative|
inconsistency|negative|negative|
inconsolably|negative|negative|
inconvenient|negative|negative|
inconveniently|negative|negative|
incorrect|negative|negative|
incorrectly|negative|negative|
incrediable|positive|positive|
incredible|positive|positive|
incredibly|positive|positive|
incredulously|negative|negative|
indecency|negative|negative|
indecently|negative|negative|
indecision|negative|negative|
indecorum|negative|negative|
indeed|neutral|neutral|
indicative|positive|positive|
indifference|negative|negative|
indignantly|negative|negative|
indignation|negative|negative|
indiscretion|negative|negative|
indistinguishable|negative|negative|
individualized|positive|positive|
indoctrinate|negative|negative|
indubitable|positive|positive|
indubitably|positive|positive|
indulgence|positive|positive|
inedible|negative|negative|
ineffectiveness|negative|negative|
ineffectualness|negative|negative|
inefficacy|negative|negative|
inefficiency|negative|negative|
ineffiecient|negative|negative|
inelegance|negative|negative|
ineptitude|negative|negative|
ineptly|negative|negative|
ineptness|negative|negative|
inexpenisve|positive|positive|
inexperience|negative|negative|
infallibility|positive|positive|
infamy|negative|negative|
infatuated|both|both|
infected|negative|negative|
infection|negative|negative|
infections|negative|negative|
inferiority|negative|negative|
infidel|negative|negative|
infidels|negative|negative|
infiltrator|negative|negative|
inflammation|negative|negative|
inflammed|negative|negative|
infraction|negative|negative|
infringement|negative|negative|
infuriating|negative|negative|
infuriatingly|negative|negative|
ingeniously|positive|positive|
ingenuity|positive|positive|
ingrate|negative|negative|
ingratitude|negative|negative|
inhibition|negative|negative|
inhospitality|negative|negative|
inhumanity|negative|negative|
iniquity|negative|negative|
injury|negative|negative|
inkling|neutral|neutral|
inoperable|negative|negative|
inordinately|negative|negative|
inpressed|positive|positive|
insanely|negative|negative|
insanity|negative|negative|
insidiously|negative|negative|
insightful|positive|positive|
insightfully|positive|positive|
insights|neutral|neutral|
insignificance|negative|negative|
insincerity|negative|negative|
insistently|positive|positive|
insolence|negative|negative|
insolently|negative|negative|
insouciance|negative|negative|
inspiration|positive|positive|
inspiring|positive|positive|
instability|negative|negative|
instantly|positive|positive|
instigator|negative|negative|
instigators|negative|negative|
insufficiency|negative|negative|
insulting|negative|negative|
insultingly|negative|negative|
insults|negative|negative|
intefere|negative|negative|
inteferes|negative|negative|
integrated|positive|positive|
integrity|negative|negative|
intelligence|positive|positive|
intense|negative|negative|
interesting|positive|positive|
interferes|negative|negative|
interruption|negative|negative|
interruptions|negative|negative|
intimidating|negative|negative|
intimidatingly|negative|negative|
intolerablely|negative|negative|
intolerant|negative|negative|
intransigent|negative|negative|
intriguing|positive|positive|
intriguingly|positive|positive|
intrusion|negative|negative|
inundated|negative|negative|
invalidity|negative|negative|
invaluablely|positive|positive|
invective|negative|negative|
invidiously|negative|negative|
invidiousness|negative|negative|
invigorating|positive|positive|
invincibility|positive|positive|
invisible|negative|negative|
inviting|positive|positive|
irascible|negative|negative|
irately|negative|negative|
ire|negative|negative|
irked|negative|negative|
irking|negative|negative|
irks|negative|negative|
irksome|negative|negative|
irksomely|negative|negative|
irksomeness|negative|negative|
irksomenesses|negative|negative|
ironical|negative|negative|
ironically|negative|negative|
irony|negative|negative|
irragularity|negative|negative|
irrationalities|negative|negative|
irrationality|negative|negative|
irrationally|negative|negative|
irrationals|negative|negative|
irrecoverable|negative|negative|
irrecoverableness|negative|negative|
irrecoverablenesses|negative|negative|
irrecoverably|negative|negative|
irrefutably|positive|positive|
irregardless|neutral|neutral|
irregularity|negative|negative|
irrelevance|negative|negative|
irreplaceable|positive|positive|
irresistable|positive|positive|
irresistibly|positive|positive|
irretating|negative|negative|
irritant|negative|negative|
irritating|negative|negative|
irritations|negative|negative|
isolation|negative|negative|
issue|neutral|negative|
issue-free|positive|positive|
issues|negative|negative|
itching|negative|negative|
itchy|negative|negative|
jagged|negative|negative|
jam|neutral|negative|
jarring|negative|negative|
jaw-droping|positive|positive|
jaw-dropping|positive|positive|
jealously|negative|negative|
jealousness|negative|negative|
jealousy|negative|negative|
jeering|negative|negative|
jeeringly|negative|negative|
jeers|negative|negative|
jeopardy|negative|negative|
jerk|negative|negative|
jerky|negative|negative|
jitter|negative|negative|
jitters|negative|negative|
job-killing|negative|negative|
joker|negative|negative|
jolly|positive|positive|
joy|positive|positive|
joyfully|positive|positive|
joyous|positive|positive|
joyously|positive|positive|
jubilantly|positive|positive|
jubilation|positive|positive|
jubiliant|positive|positive|
juciy|positive|positive|
judder|negative|negative|
juddering|negative|negative|
judders|negative|negative|
juicy|positive|positive|
junk|negative|negative|
junkyard|negative|negative|
just|positive|positive|
justifiably|positive|positive|
justly|positive|positive|
jutter|negative|negative|
jutters|negative|negative|
keenly|positive|positive|
kid-friendly|positive|positive|
kidding|negative|negative|
killed|negative|negative|
killer|negative|negative|
killing|negative|negative|
killjoy|negative|negative|
kills|negative|negative|
kindliness|positive|positive|
kindly|positive|positive|
kindness|positive|positive|
knave|negative|negative|
knotted|negative|negative|
knowgelable|positive|positive|
knowing|neutral|neutral|
knowingly|neutral|neutral|
knowlagable|positive|positive|
knowledgable|positive|positive|
knowledgeable|positive|positive|
knowledgeble|positive|positive|
knowlegable|positive|positive|
knowlegedable|positive|positive|
knowlwdgeable|positive|positive|
kook|negative|negative|
kudos|positive|positive|
lacked|negative|negative|
lackey|negative|negative|
lackluster|negative|negative|
lacks|negative|negative|
lagged|negative|negative|
lagging|negative|negative|
laggy|negative|negative|
lags|negative|negative|
laid-off|negative|negative|
lamentable|negative|negative|
lamentably|negative|negative|
languor|negative|negative|
lapse|negative|negative|
lapsed|negative|negative|
lapses|negative|negative|
large-capacity|positive|positive|
lastly|neutral|neutral|
latency|negative|negative|
laudable|positive|positive|
laudably|positive|positive|
laughable|negative|negative|
laughably|negative|negative|
laughingstock|negative|negative|
lavishly|positive|positive|
lawbreaking|negative|negative|
layoff|negative|negative|
layoff-happy|negative|negative|
leads|positive|positive|
leakage|negative|negative|
leakages|negative|negative|
leaking|negative|negative|
leaks|negative|negative|
least|negative|negative|
lech|negative|negative|
lecher|negative|negative|
lechery|negative|negative|
led|positive|positive|
legit|positive|positive|
leisurely|positive|positive|
lemon|negative|negative|
lengthy|negative|negative|
lesser|negative|negative|
letch|negative|negative|
lethargy|negative|negative|
levity|positive|positive|
lewdness|negative|negative|
liberty|positive|positive|
licentiousness|negative|negative|
lied|negative|negative|
lier|negative|negative|
lifesaver|positive|positive|
lighter|positive|positive|
liked|positive|positive|
likely|neutral|neutral|
likes|positive|positive|
likewise|neutral|neutral|
liking|positive|positive|
limitation|negative|negative|
limitations|negative|negative|
limits|negative|negative|
livid|negative|negative|
lividly|negative|negative|
loathing|negative|negative|
loathly|negative|negative|
loathsomely|negative|negative|
loneliness|negative|negative|
loner|negative|negative|
long-lasting|positive|positive|
long-time|negative|negative|
long-winded|negative|negative|
longing|negative|negative|
longingly|negative|negative|
look|neutral|neutral|
looking|neutral|neutral|
loophole|negative|negative|
loose|negative|negative|
loser|negative|negative|
losers|negative|negative|
loses|negative|negative|
loss|negative|negative|
losses|negative|negative|
loud|negative|negative|
louder|negative|negative|
loveable|positive|positive|
loved|positive|positive|
loveliness|positive|positive|
lovely|positive|positive|
lover|positive|positive|
loves|positive|positive|
loving|positive|positive|
low-price|positive|positive|
low-priced|positive|positive|
luck|positive|positive|
luckiest|positive|positive|
luckiness|positive|positive|
ludicrously|negative|negative|
lumpy|negative|negative|
lunaticism|negative|negative|
luster|positive|positive|
luxurious|positive|positive|
luxuriously|positive|positive|
lying|negative|negative|
maddening|negative|negative|
maddeningly|negative|negative|
madly|negative|negative|
madman|negative|negative|
madness|negative|negative|
magnanimous|positive|positive|
magnanimously|positive|positive|
magnificence|positive|positive|
magnificent|positive|positive|
magnificently|positive|positive|
majesty|positive|positive|
maladjustment|negative|negative|
malady|negative|negative|
malaise|negative|negative|
malevolence|negative|negative|
malevolently|negative|negative|
malice|negative|negative|
maliciously|negative|negative|
maliciousness|negative|negative|
managable|positive|positive|
maneuverable|positive|positive|
mangled|negative|negative|
mangles|negative|negative|
mangling|negative|negative|
mania|negative|negative|
maniac|negative|negative|
mannerless|negative|negative|
martyrdom|negative|negative|
marveled|positive|positive|
marvelled|positive|positive|
marvelous|positive|positive|
marvelously|positive|positive|
marvelousness|positive|positive|
marvels|positive|positive|
marvolous|positive|positive|
mashed|negative|negative|
massacres|negative|negative|
masterpiece|positive|positive|
masterpieces|positive|positive|
mastery|positive|positive|
matte|negative|negative|
maturity|positive|positive|
mawkish|negative|negative|
mawkishly|negative|negative|
mawkishness|negative|negative|
maybe|neutral|neutral|
meanness|negative|negative|
measly|negative|negative|
meddlesome|negative|negative|
mediocrity|negative|negative|
meltdown|negative|negative|
menacing|negative|negative|
menacingly|negative|negative|
mendacity|negative|negative|
merciful|positive|positive|
mercifully|positive|positive|
mere|negative|negative|
merely|negative|negative|
merriment|positive|positive|
merriness|positive|positive|
mesmerized|positive|positive|
mesmerizes|positive|positive|
mesmerizing|positive|positive|
mesmerizingly|positive|positive|
messed|negative|negative|
messes|negative|negative|
messing|negative|negative|
might|neutral|neutral|
mightily|positive|positive|
mighty|positive|positive|
mind-blowing|positive|positive|
mind-boggling|positive
mindedness|negative|negative|
mindless|negative|negative|
mindlessly|negative|negative|
miniature|positive|positive|
miracle|positive|positive|
miracles|positive|positive|
miraculously|positive|positive|
miraculousness|positive|positive|
misalign|negative|negative|
misaligned|negative|negative|
misaligns|negative|negative|
misbehavior|negative|negative|
miscellaneous|negative|negative|
mischievous|negative|negative|
mischievously|negative|negative|
misconception|negative|negative|
miscreant|negative|negative|
miscreants|negative|negative|
misdirection|negative|negative|
miser|negative|negative|
miserableness|negative|negative|
miserably|negative|negative|
miseries|negative|negative|
miserly|negative|negative|
misery|negative|negative|
misfit|negative|negative|
misfortune|negative|negative|
misgiving|negative|negative|
misgivings|negative|negative|
misguidance|negative|negative|
mishap|negative|negative|
misjudgment|negative|negative|
misleading|negative|negative|
misleadingly|negative|negative|
mispronounce|negative|negative|
mispronounced|negative|negative|
mispronounces|negative|negative|
misrepresentation|negative|negative|
missed|negative|negative|
misses|negative|negative|
misstatement|negative|negative|
mist|negative|negative|
mistreated|negative|negative|
mistress|negative|negative|
mistrustful|negative|negative|
mistrustfully|negative|negative|
mists|negative|negative|
mm|neutral|neutral|
mobster|negative|negative|
mocked|negative|negative|
mockeries|negative|negative|
mockery|negative|negative|
mockingly|negative|negative|
mocks|negative|negative|
modesty|positive|positive|
moist|positive|positive|
moldy|negative|negative|
molestation|negative|negative|
monopoly|negative|negative|
monotony|negative|negative|
monster|neutral|negative|
monstrosities|negative|negative|
monstrosity|negative|negative|
monstrously|negative|negative|
morality|positive|positive|
moreover|neutral|neutral|
moron|negative|negative|
moronic|negative|negative|
morons|negative|negative|
mortification|negative|negative|
mortifying|negative|negative|
most|neutral|neutral|
mostly|neutral|neutral|
mourner|negative|negative|
mournful|negative|negative|
mournfully|negative|negative|
much|neutral|neutral|
mudslinger|negative|negative|
mudslinging|negative|negative|
multi-purpose|positive|positive|
murderer|negative|negative|
muscle-flexing|negative|negative|
mushy|negative|negative|
must|neutral|neutral|
musty|negative|negative|
mutilate|negative|negative|
mystery|negative|negative|
nagging|negative|negative|
naïve|negative|negative|
nastily|negative|negative|
nastiness|negative|negative|
nauseates|negative|negative|
nauseous|negative|negative|
neatest|positive|positive|
nebulously|negative|negative|
needfully|neutral|neutral|
nefariously|negative|negative|
negation|negative|negative|
negatives|negative|negative|
negativity|negative|negative|
negligence|negative|negative|
nemesis|negative|negative|
nepotism|negative|negative|
nervousness|negative|negative|
nevertheless|neutral|neutral|
nicely|positive|positive|
nicer|positive|positive|
nicest|positive|positive|
niggles|negative|negative|
nightmare|negative|negative|
nippy|negative|negative|
nitpick|negative|negative|
nitpicking|negative|negative|
noise|negative|negative|
noises|negative|negative|
noisier|negative|negative|
non-existent|negative|negative|
non-violence|positive|positive|
nonresponsive|negative|negative|
nonsense|negative|negative|
notably|positive|positive|
notoriety|negative|negative|
nourishment|positive|positive|
novelty|positive|positive|
noxious|negative|negative|
nuts|negative|negative|
nutty|negative|negative|
oasis|positive|positive|
obliged|positive|positive|
obnoxiously|negative|negative|
obscenely|negative|negative|
obscenity|negative|negative|
obscured|negative|negative|
obscures|negative|negative|
obscurity|negative|negative|
observant|positive|positive|
obsession|positive|positive|
obsessions|positive|positive|
obsessively|negative|negative|
obsessiveness|negative|negative|
obstinately|negative|negative|
obstructed|negative|negative|
obstructing|negative|negative|
obstruction|negative|negative|
obstructs|negative|negative|
obvious|neutral|neutral|
obviously|negative|negative|
occlude|negative|negative|
occluded|negative|negative|
occludes|negative|negative|
occluding|negative|negative|
odd|negative|negative|
odder|negative|negative|
oddest|negative|negative|
oddity|negative|negative|
oddly|negative|negative|
odor|negative|negative|
offender|negative|negative|
offending|negative|negative|
offensive|negative|negative|
offensively|negative|negative|
offensiveness|negative|negative|
oh|neutral|neutral|
okay|positive|positive|
ominously|negative|negative|
omission|negative|negative|
one-sided|negative|negative|
onerously|negative|negative|
onward|positive|positive|
opponent|negative|negative|
oppressively|negative|negative|
oppressiveness|negative|negative|
optimism|positive|positive|
optomistic|positive|positive|
ordeal|negative|negative|
organized|positive|positive|
originality|positive|positive|
orphan|negative|negative|
ought|neutral|neutral|
outbreak|negative|negative|
outcast|negative|negative|
outcry|negative|negative|
outdone|positive|positive|
outlandish|negative|negative|
outlaw|negative|negative|
outperform|positive|positive|
outperformed|positive|positive|
outperforming|positive|positive|
outperforms|positive|positive|
outrageous|negative|negative|
outrageously|negative|negative|
outrageousness|negative|negative|
outrages|negative|negative|
outshone|positive|positive|
outsider|negative|negative|
outstandingly|positive|positive|
over-acted|negative|negative|
over-awe|negative|negative|
over-balanced|negative|negative|
over-hyped|negative|negative|
over-priced|negative|negative|
overact|negative|negative|
overacted|negative|negative|
overcharge|negative|negative|
overcharged|negative|negative|
overcooked|negative|negative|
overdone|negative|negative|
overheat|negative|negative|
overkill|negative|negative|
overloaded|negative|negative|
overpaid|negative|negative|
overpayed|negative|negative|
overpriced|negative|negative|
overrated|negative|negative|
oversight|negative|negative|
oversights|negative|negative|
oversimplification|negative|negative|
oversize|negative|negative|
overstate|negative|negative|
overstated|negative|negative|
overstatements|negative|negative|
overstates|negative|negative|
overtake|positive|positive|
overtaken|positive|positive|
overtakes|positive|positive|
overtaking|positive|positive|
overthrows|negative|negative|
overtook|positive|positive|
overweight|negative|negative|
overwhelmed|negative|negative|
overwhelmingly|negative|negative|
overwhelms|negative|negative|
overzelous|negative|negative|
pain-free|positive|positive|
painfull|negative|negative|
pales|negative|negative|
pampered|positive|positive|
pamperedly|positive|positive|
pamperedness|positive|positive|
pampers|positive|positive|
pandemonium|negative|negative|
pander|negative|negative|
pandering|negative|negative|
panders|negative|negative|
panick|negative|negative|
panicked|negative|negative|
panicking|negative|negative|
panoramic|neutral|positive|
paradise|positive|positive|
paranoia|negative|negative|
parasite|negative|negative|
pariah|negative|negative|
passable|negative|negative|
passion|positive|positive|
passionately|positive|positive|
pathetically|negative|negative|
patience|positive|positive|
patriot|positive|positive|
pauper|negative|negative|
peach|positive|positive|
